,Unnamed: 0,id,name,steam appid,required age,is free,release date,review_amount,review_score,total_positive_reviews,total_negative_reviews,price,currency,discount_percent,platforms.windows,platforms.mac,platforms.linux,revenue,number_reviews
2814,2814,452710,Realities,452710,0,1,"5 Apr, 2016",1,0,1,0,,,,1,0,0,,1
2815,2815,452860,Mad Bullets,452860,0,0,"10 Jun, 2016",2,8,100,8,2.39,EUR,0.0,1,0,0,247.0,108
2816,2816,452920,Laser Disco Defenders,452920,0,0,"6 Oct, 2016",2,0,2,0,8.99,EUR,0.0,1,1,0,17.98,2
2817,2817,452930,Insane,452930,0,0,"31 Mar, 2016",2,0,1,1,7.99,EUR,0.0,1,1,0,8.99,2
2818,2818,452940,Theory Test UK 2016/17 - Driving Test Success,452940,0,0,"6 May, 2016",20,7,32,0,12.99,EUR,0.0,1,0,0,415.68,32
2819,2819,452950,Hazard Perception Test UK 2016/17 Bundle - Driving Test Success,452950,0,0,"6 May, 2016",1,0,4,5,19.99,EUR,0.0,1,0,0,84.96,9
2820,2820,452970,Asemblance,452970,0,0,"21 Jun, 2016",20,5,49,29,6.99,EUR,0.0,1,0,0,371.51,78
2821,2821,453030,The Fifth Expedition,453030,0,0,"7 Apr, 2016",5,0,3,2,9.0,EUR,0.0,1,0,1,29.0,5
2822,2822,453100,Frederic: Resurrection of Music Director's Cut,453100,0,0,"21 Apr, 2016",20,8,62,11,5.99,EUR,0.0,1,1,1,382.38,73
2823,2823,453130,Powargrid,453130,0,0,"5 Oct, 2016",10,6,7,3,8.19,EUR,0.0,1,1,1,60.33,10
2824,2824,452320,Party Saboteurs: After Party,452320,0,0,"20 Oct, 2016",12,6,9,3,9.99,EUR,0.0,1,1,1,92.91,12
2825,2825,452340,Ian's Eyes,452340,0,1,"1 Sep, 2016",20,5,8,12,,,,1,0,0,,20
2826,2826,452410,Damsel,452410,0,0,"19 Oct, 2018",1,6,19,5,6.69,EUR,0.0,1,1,1,132.11,24
2827,2827,452420,Koihime Enbu 恋姫†演武,452420,0,0,"19 May, 2016",1,8,74,18,3.99,EUR,0.0,1,0,0,313.26,92
2828,2828,452450,Rising Islands,452450,0,0,"2 Aug, 2016",20,5,11,14,9.99,EUR,0.0,1,0,0,123.89,25
2829,2829,452490,The Cubicle.,452490,0,1,"5 Apr, 2016",9,0,6,3,,,,1,0,0,,9
2830,2830,452510,UNDER NIGHT IN-BIRTH Exe:Late,452510,0,0,"12 Jul, 2016",1,8,362,26,27.99,EUR,0.0,1,0,0,10158.38,388
2831,2831,452570,Battle Chef Brigade Deluxe,452570,0,0,"20 Nov, 2017",5,9,593,14,19.99,EUR,0.0,1,1,0,11868.07,607
2832,2832,452650,The Rebel,452650,0,0,"15 Jul, 2016",6,0,2,4,0.99,EUR,0.0,1,0,0,5.98,6
2833,2833,451780,Trillion: God of Destruction,451780,0,0,"7 Nov, 2016",1,6,149,62,8.19,EUR,0.0,1,0,0,1282.31,211
2834,2834,451800,End Of The Mine,451800,0,0,"28 Oct, 2016",8,0,5,3,0.79,EUR,0.0,1,1,0,6.95,8
2835,2835,451840,Out of Ammo,451840,0,0,"14 Sep, 2016",1,8,476,93,8.19,EUR,0.0,1,0,0,3991.4399999999996,569
2836,2836,451870,Nighttime Terror VR: Dessert Defender,451870,0,0,"4 Apr, 2016",9,0,6,3,4.99,EUR,0.0,1,0,0,32.94,9
2837,2837,451880,Catch a Falling Star,451880,0,0,"30 Mar, 2016",20,6,79,26,0.79,EUR,0.0,1,0,0,88.41,105
2838,2838,451900,WizardCraft,451900,0,0,"27 May, 2016",19,5,12,7,2.39,EUR,0.0,1,0,0,35.68,19
2839,2839,451920,Thorne - Death Merchants,451920,0,0,"25 Mar, 2016",20,5,44,22,3.29,EUR,0.0,1,0,0,166.76,66
2840,2840,451930,qrth-phyl,451930,0,0,"19 Jul, 2018",13,7,12,1,3.99,EUR,0.0,1,0,0,48.88,13
2841,2841,451940,Return Home,451940,0,0,"30 Aug, 2019",2,0,2,0,3.99,EUR,0.0,1,0,0,7.98,2
2842,2842,451950,EEP Train Simulator Mission,451950,0,0,"5 Apr, 2017",8,0,1,7,19.99,EUR,0.0,1,0,0,26.99,8
2843,2843,451960,The Secret of Pineview Forest,451960,0,1,"31 Oct, 2016",2,0,1,1,,,,1,0,0,,2
2844,2844,451980,The Body VR: Journey Inside a Cell,451980,0,1,"3 Oct, 2016",9,0,9,0,,,,1,0,0,,9
2845,2845,451990,Cranks and Goggles,451990,0,0,"21 Dec, 2016",20,6,73,21,1.0,EUR,0.0,1,1,0,94.0,94
2846,2846,452000,Military Life: Tank Simulator,452000,0,0,"1 Jun, 2016",13,5,6,7,4.99,EUR,0.0,1,0,0,36.94,13
2847,2847,452060,Caveblazers,452060,0,0,"24 May, 2017",3,8,1007,147,9.99,EUR,0.0,1,0,0,10206.93,1154
2848,2848,452120,Midvinter,452120,0,0,"5 May, 2016",20,7,18,4,3.99,EUR,0.0,1,0,0,75.82000000000001,22
2849,2849,452230,Spellstone,452230,0,1,"14 Nov, 2016",2,0,2,0,,,,1,1,0,,2
2850,2850,452240,Dawn of the Robot Empire,452240,0,0,"11 Apr, 2016",7,0,7,0,4.99,EUR,0.0,1,0,0,34.93,7
2851,2851,451520,theBlu,451520,0,0,"5 Apr, 2016",1,8,697,122,9.99,EUR,0.0,1,0,0,7085.03,819
2852,2852,451540,Snakes on an Extradimensional Plane,451540,0,0,"5 Dec, 2016",2,0,2,0,2.99,EUR,0.0,1,0,0,5.98,2
2853,2853,451570,Demetrios - The BIG Cynical Adventure,451570,0,0,"31 May, 2016",1,6,62,19,9.99,EUR,0.0,1,1,1,638.38,81
